houshold,brand_car,age_car_yr,Sum_Totprem_Auto,Cars,salard_Age_cus_HH,cus_tenure_mth,HH_tenure_mth,FA_DCT,Fc,FD,cs_flag_auto,zone,salary,rural_urban,fraud_Ind
1086,4,26,0,2,25,128,158,0,3,2,0,3,2193520,0,0
1087,2,8,0,1,29,312,334,0,1,3,0,2,3332686,1,0
1088,4,16,0,2,32,93,129,0,1,2,0,3,1953933,1,0
1089,3,4,0,3,50,16,39,0,1,1,0,3,3975846,0,0
1090,7,4,0,2,25,70,98,0,2,4,0,3,1686359,0,0
1091,7,2,0,3,51,203,252,1,2,4,0,3,1745235,0,0
1092,1,2,0,1,26,28,46,0,1,1,0,5,2869064,0,0
1093,1,2,0,1,26,73,116,0,2,2,0,3,4141323,1,0
1094,3,17,0,4,38,123,221,0,5,4,0,4,1901424,0,0
1095,4,12,0,2,50,205,251,0,3,1,0,4,4473516,0,0
1096,7,11,0,1,50,332,359,0,2,3,0,3,4043739,1,0
1097,7,3,0,2,34,98,136,0,5,3,0,2,2510687,1,0
1098,2,7,0,3,39,19,24,0,5,4,0,5,3984238,0,0
1099,2,8,0,1,26,208,240,1,3,1,0,2,1378928,0,0
1100,2,24,0,1,36,35,61,0,5,2,0,2,2525234,0,0
1101,3,42,0,2,33,102,191,0,1,2,0,3,3593718,1,0
1102,7,12,0,3,25,170,209,0,3,2,0,2,4031973,1,0
1103,2,35,0,2,50,111,132,0,2,3,0,2,2273898,0,0
1104,4,35,0,2,31,275,215,1,5,6,0,5,4410970,1,0
1105,1,9,0,2,43,170,187,1,4,5,0,4,1855806,1,0
1106,2,8,0,2,41,193,229,1,4,1,0,3,2546022,0,0
1107,1,9,0,2,27,124,128,1,5,1,0,2,2093066,0,0
1108,1,9,0,4,25,120,109,1,1,6,0,4,2610592,0,0
1109,3,9,0,1,32,79,117,1,5,3,0,2,3256425,0,0
1110,7,20,0,1,43,114,133,0,2,1,0,6,4659048,0,0
1111,3,4,0,1,29,82,277,0,3,2,0,3,2931257,0,0
1112,7,7,0,1,25,247,272,0,4,3,0,4,2639300,0,0
1113,4,26,0,4,47,307,324,0,4,2,0,4,1994740,0,0
1114,2,13,0,3,31,36,80,0,2,3,0,2,4537849,0,0
1115,2,11,0,1,29,236,259,1,1,2,0,5,3736023,0,0
1116,1,8,0,1,32,17,65,0,2,3,0,4,4160484,0,0
1117,1,13,0,1,51,76,92,0,1,2,0,3,3568218,0,0
1118,2,9,0,1,44,234,256,0,5,3,0,5,1444418,0,0
1119,1,9,0,1,34,197,222,0,5,3,0,2,3832653,0,0
1120,7,9,0,2,46,118,157,0,3,3,0,5,4131699,0,0
1121,4,11,0,2,29,139,176,0,3,2,0,4,1457568,0,0
1122,7,18,0,2,40,139,118,0,1,1,0,5,4169451,0,0
1123,3,23,0,1,46,214,243,0,4,3,0,4,2028350,0,0
1124,2,12,0,4,38,273,311,0,1,3,0,6,3450209,0,0
1125,7,9,0,2,28,155,196,1,5,3,0,3,3363207,1,0
1126,1,6,0,3,27,69,113,1,2,2,0,2,3297744,0,0
1127,2,6,0,3,34,7,12,0,1,1,0,4,2055498,0,0
1128,2,6,0,2,46,255,277,0,2,1,0,4,4501156,0,0
1129,7,9,0,2,27,171,113,0,5,3,0,4,2403792,0,0
1130,2,9,0,1,28,200,149,0,2,3,0,6,4550698,0,0
1131,5,8,0,1,25,227,214,0,5,4,0,4,1539097,0,0
1132,3,8,0,1,33,73,224,1,5,1,0,5,2225442,0,0
1133,3,12,0,1,25,164,186,1,2,4,0,4,2371667,0,0
1134,1,21,0,1,44,27,32,0,5,2,0,2,3477842,0,0
1135,1,4,0,1,39,7,12,0,5,1,0,3,2016036,0,0
1136,2,3,0,1,27,99,295,0,5,1,0,3,4457515,0,0
1137,1,19,0,1,45,113,147,0,1,2,0,6,4117354,0,0
1138,3,8,0,2,31,190,215,0,2,1,0,5,4414300,0,0
1139,3,3,0,2,33,289,303,0,3,4,0,2,3250197,0,0
1140,2,12,0,1,37,109,220,0,5,1,0,2,2042176,0,0
1141,2,19,0,1,51,68,246,0,2,3,0,1,2535058,0,0
1142,2,9,0,1,39,220,150,0,2,1,0,1,4633956,1,0
1143,2,9,0,1,33,255,259,0,2,2,0,2,4143152,0,0
1144,2,17,0,1,38,93,150,0,4,1,0,1,2716375,1,0
1145,2,7,0,3,45,274,300,0,5,3,0,3,2680122,0,0
1146,2,26,0,2,51,213,261,0,1,3,0,1,3450653,1,0
1147,2,5,0,4,25,224,252,0,2,1,0,1,4500520,0,0
1148,7,5,0,2,32,213,256,0,2,3,0,1,1316326,1,0
1149,7,23,0,5,38,128,132,1,1,3,0,1,3267542,0,0
1150,3,14,0,1,25,270,294,0,1,2,0,1,3370608,0,0
1151,2,14,0,2,48,181,155,1,1,4,0,1,1799555,0,0
1152,1,6,0,1,45,7,12,0,4,1,0,1,1808193,0,0
1153,1,1,0,1,48,149,176,1,2,1,0,1,4543190,0,0
1154,1,17,0,2,34,120,153,1,5,2,0,1,2911208,1,0
1155,7,13,0,2,31,137,174,1,2,1,0,1,1319718,0,0
1156,3,10,0,2,27,115,125,0,3,1,0,1,1770924,1,0
1157,1,6,0,2,25,74,97,0,3,3,0,1,4015649,0,0
1158,1,13,0,1,44,257,285,0,3,2,0,1,4039481,1,0
1159,1,7,0,4,50,22,44,0,1,3,0,4,2923693,0,0
1160,2,6,0,3,47,177,209,0,3,5,0,1,2034573,0,0
1161,3,4,0,1,39,21,52,0,2,3,0,2,2976788,0,0
1162,2,5,0,4,44,155,169,0,5,3,0,1,3136910,1,0
1163,1,22,0,3,40,74,122,0,2,2,0,1,2527241,0,0
1164,2,3,0,3,47,139,140,0,3,2,0,3,1344527,0,0
1165,2,7,0,3,25,311,351,0,5,3,0,1,3537994,0,0
1166,2,3,0,1,35,292,339,0,1,3,0,1,4671635,0,0
1167,4,23,0,1,45,98,136,0,3,2,0,4,1439794,1,0
1168,4,18,0,3,40,247,295,0,3,1,0,1,2430923,1,0
1169,1,5,0,3,35,310,352,1,1,1,0,1,4066566,1,0
1170,3,11,0,1,29,134,195,1,2,4,0,2,2758234,0,0
1171,3,13,0,3,51,249,299,0,1,2,0,1,4207858,0,0
1172,7,39,0,2,49,234,204,1,5,5,0,1,1907625,1,0
1173,1,15,0,2,49,325,342,0,1,2,0,3,4574805,0,0
1174,1,12,0,1,42,87,107,1,2,2,0,2,3364465,0,0
1175,3,18,0,1,45,84,123,1,2,2,0,6,3702388,0,0
1176,1,18,0,1,51,148,168,0,2,5,0,3,2713465,0,0
1177,1,36,0,1,39,26,31,0,2,3,0,3,1488145,0,0
1178,5,27,0,2,45,25,30,0,2,1,0,3,4010408,0,0
1179,1,5,0,1,34,122,142,0,5,4,0,4,1365684,1,0
1180,1,5,0,2,29,146,240,0,2,2,0,6,2504799,1,0
1181,4,5,0,3,32,203,164,0,1,1,0,6,4340886,1,0
1182,2,8,0,3,39,225,292,0,1,4,0,4,1774755,0,0
1183,2,16,0,2,48,172,215,0,2,3,0,5,2872256,0,0
1184,3,2,0,3,37,133,148,0,2,1,0,3,3399628,1,0
1185,1,4,0,2,38,14,19,1,2,3,0,5,2345165,0,0
1186,2,4,0,2,45,171,186,1,3,2,0,4,3284994,0,0
1187,1,2,0,1,25,234,248,0,1,2,0,4,3931658,0,0
1188,3,24,0,1,50,327,347,0,1,2,0,4,2571986,0,0
1189,4,15,0,1,51,181,195,0,2,2,0,3,3817458,0,0
1190,1,7,0,2,34,252,217,0,4,2,0,3,3041482,0,0
1191,2,28,0,2,51,329,342,0,5,6,0,4,2138827,0,0
1192,7,7,0,1,29,140,247,0,2,6,0,6,4145897,1,0
1193,1,42,0,2,45,171,193,0,3,2,0,3,1875652,0,0
1194,3,12,0,1,32,103,116,0,2,2,0,4,2783839,0,0
1195,1,35,0,1,41,166,193,0,3,1,0,4,3202113,0,0
1196,2,5,0,3,32,2,19,0,3,1,0,6,4164880,0,0
1197,4,17,0,1,40,74,90,0,2,1,0,4,2004589,0,0
1198,3,5,0,4,49,163,185,0,3,1,0,6,3844859,0,0
1199,2,9,0,1,34,153,169,0,3,5,0,5,1721336,1,0
1200,2,9,0,3,48,150,198,0,2,3,0,4,1976178,0,0
1201,2,17,0,3,32,147,231,0,2,6,0,4,2549847,0,0
1202,4,3,0,1,34,24,71,0,3,3,0,4,2814836,0,0
1203,1,5,0,2,35,133,112,0,5,1,0,1,4007804,1,0
1204,3,22,0,1,32,55,105,0,4,1,0,2,1400982,0,0
1205,7,10,0,4,25,167,187,1,2,1,0,4,2951414,0,0
1206,2,8,0,3,26,163,211,0,5,1,0,1,4130237,1,0
1207,4,9,0,1,39,75,107,0,2,2,0,2,4665412,0,0
1208,2,19,0,2,48,145,173,0,1,1,0,1,4544629,0,0
1209,2,42,0,2,30,179,222,0,4,2,0,1,2870893,0,0
1210,1,19,0,1,49,88,102,0,3,2,0,1,3475439,0,0
1211,2,9,0,2,39,155,133,0,1,2,0,1,4572004,0,0
1212,7,9,0,2,25,191,228,0,1,2,0,1,3861423,1,0
1213,2,19,0,1,25,43,48,0,2,2,0,1,2664710,0,0
1214,1,2,0,1,39,95,118,0,1,1,0,1,4255265,0,0
1215,1,17,0,2,33,290,303,0,3,2,0,1,4066383,1,0
1216,1,6,0,1,41,17,22,1,3,2,0,1,2615599,0,0
1217,4,1,40502.84,4,26,159,222,0,3,4,1,1,2102574,0,0
1218,4,15,58371.74,4,29,328,343,0,2,5,1,1,3528836,1,0
1219,7,16,34546.54,1,25,169,203,1,4,2,1,1,1830423,1,0
1220,7,3,8509,3,46,37,50,0,3,3,1,1,3034204,0,0
1221,1,11,36758.88,1,36,107,272,0,2,1,1,3,4509151,0,0
1222,1,25,20251.42,2,32,272,243,0,1,1,1,2,4171974,1,0
1223,1,3,11402.06,3,30,48,67,0,4,5,1,2,3715216,0,0
1224,5,6,17528.54,1,33,85,103,0,5,2,1,2,4063833,1,0
1225,1,12,27909.52,1,44,233,143,0,2,1,1,1,3511320,0,0
1226,3,11,53266.34,1,35,287,313,0,5,1,1,2,2364296,0,0
1227,1,19,5956.3,2,30,30,35,0,1,1,1,1,2001011,0,0
1228,7,41,7147.56,2,36,12,42,0,5,3,1,1,1631447,0,0
1229,2,4,57350.66,3,40,320,337,0,2,1,1,3,3550346,0,0
1230,1,4,41694.1,1,42,229,245,0,4,4,1,1,3304018,0,0
1231,1,4,28590.24,1,45,156,168,0,1,2,1,1,4062466,0,0
1232,3,11,19740.88,4,45,68,116,0,1,1,1,3,2474754,0,0
1233,2,8,53947.06,2,42,279,317,0,4,2,1,3,2438966,1,0
1234,1,25,29441.14,2,49,135,173,0,3,1,1,1,3903818,0,0
1235,7,8,28420.06,2,49,138,167,1,5,1,1,5,4468891,1,0
1236,3,9,33355.28,2,42,160,196,0,1,1,1,3,4029333,0,0
1237,4,10,50032.92,1,46,273,294,0,2,2,1,4,4609227,0,0
1238,4,17,52075.08,3,30,263,306,0,1,2,1,4,2041697,1,0
1239,2,20,28420.06,4,39,150,167,0,5,3,1,6,1827203,1,0
1240,2,6,0,2,43,158,183,0,2,2,0,6,2972841,0,0
1241,3,11,0,4,39,198,239,0,5,3,0,4,2785579,0,0
1242,7,11,0,2,44,239,272,0,2,1,0,3,3431620,0,0
1243,2,20,0,1,44,254,288,0,1,2,0,3,3439013,0,0
1244,1,6,0,4,36,74,280,0,2,2,0,3,1953926,0,0
1245,4,3,0,2,40,48,83,0,3,2,0,5,3698253,0,0
1246,3,3,0,2,49,244,208,1,1,2,0,4,3238146,0,0
1247,7,7,50198.4,1,35,152,267,0,2,3,1,6,3123573,0,0
1248,5,9,36528.3,1,48,133,163,0,1,3,1,4,4422389,0,0
1249,7,6,43475.4,2,33,166,194,0,2,4,1,3,3066696,0,0
1250,2,6,54232.2,2,49,204,242,0,3,1,1,4,2915146,0,0
1251,3,9,50870.7,2,38,209,227,0,2,4,1,4,1792067,0,0
1252,1,43,53559.9,2,30,198,239,0,2,5,1,4,2158725,0,0
1253,3,10,57817.8,1,51,208,258,0,3,5,1,3,3051927,0,0
1254,7,6,70143.3,2,32,291,313,0,2,5,1,3,4255374,0,0
1255,3,4,29581.2,2,50,110,132,0,1,2,1,3,1694036,0,0
1256,1,2,41010.3,2,43,139,183,0,5,1,1,3,2832420,0,0
1257,2,22,70815.6,1,46,300,316,0,3,1,1,3,3818266,0,0
1258,2,12,43699.5,2,43,150,195,1,5,2,1,5,3498245,0,0
1259,2,9,22185.9,2,32,80,99,0,1,3,1,3,2764239,0,0
1260,1,1,64540.8,1,44,257,288,1,4,2,1,3,3501697,0,0
1261,1,23,18376.2,1,42,33,82,0,2,3,1,3,3010075,0,0
1262,2,8,31374,1,31,103,140,0,2,2,1,5,1335020,0,0
1263,2,7,2689.2,2,38,7,12,0,1,3,1,7,2254148,0,0
1264,7,11,67005.9,2,34,262,299,0,1,1,1,3,3517430,0,0
1265,2,13,29357.1,1,36,118,131,0,4,2,1,7,2741643,0,0
1266,2,11,37872.9,1,47,148,114,0,1,2,1,3,2562636,0,0
1267,2,26,7843.5,1,46,19,35,0,5,3,1,4,2325175,0,0
1268,3,2,27116.1,1,31,234,130,0,3,2,1,5,2806440,0,0
1269,4,8,59386.5,2,27,127,149,0,3,3,1,1,4091923,0,0
1270,3,28,0,1,51,250,294,0,4,3,0,3,2393157,0,0
1271,7,6,0,4,45,26,53,0,5,4,0,1,3416828,0,0
1272,4,36,0,3,32,260,306,0,1,2,0,1,3552235,1,0
1273,2,18,0,2,38,175,198,1,2,4,0,1,2260238,0,0
1274,3,8,0,1,48,162,198,0,1,6,0,1,1932286,0,0
1275,3,17,0,1,37,1,44,0,1,1,0,1,1638338,1,0
1276,1,1,0,3,47,257,275,0,2,1,0,1,2984549,0,0
1277,1,18,0,1,25,209,102,1,1,1,0,1,2258716,0,0
1278,2,18,0,2,27,210,131,0,2,2,0,3,2010359,0,0
1279,2,2,0,1,31,259,304,0,1,1,0,1,4627134,0,0
1280,2,17,0,1,50,50,84,0,3,6,0,2,2882522,1,0
1281,1,17,0,1,31,137,244,0,2,2,0,2,1870086,0,0
1282,5,18,0,2,37,114,154,0,2,3,0,1,1853407,0,0
1283,1,24,0,1,41,45,86,0,2,1,0,1,2922236,0,0
1284,2,3,0,3,40,230,117,1,1,2,0,1,1630154,0,0
1285,1,3,0,2,41,21,26,0,1,2,0,1,1987917,0,0
1286,1,13,0,2,51,229,289,0,2,2,0,1,1950731,0,0
1287,3,13,0,3,47,75,142,1,2,2,0,1,2780750,0,0
1288,1,35,0,4,40,111,217,0,1,6,0,1,1993301,1,0
1289,3,2,0,2,32,116,147,0,3,2,0,1,4534664,0,0
1290,1,5,0,1,31,156,192,0,3,1,0,4,3872308,1,0
1291,1,9,0,3,38,130,173,0,2,2,0,1,1868449,1,0
1292,1,9,0,1,35,136,169,0,3,1,0,1,3000982,1,0
1293,2,10,0,4,30,239,263,0,2,3,0,1,4697757,0,0
1294,1,20,0,1,39,193,208,1,5,1,0,1,3366729,1,0
1295,3,22,0,2,45,22,55,0,1,2,0,4,1527427,1,0
1296,7,6,0,1,41,268,130,0,5,3,0,2,2524716,0,0
1297,1,13,0,2,50,171,119,0,2,2,0,1,3856146,0,0
1298,3,13,0,1,45,261,296,0,2,2,0,1,4247517,0,0
1299,2,18,0,4,33,47,59,0,5,3,0,1,3431080,0,0
1300,1,7,0,1,34,9,25,0,2,5,0,1,2805425,0,0
1301,1,2,0,1,36,17,58,0,5,2,0,4,1508287,0,0
1302,1,6,0,3,45,281,326,1,5,2,0,2,3155741,0,0
1303,1,6,0,2,28,315,333,0,2,2,0,4,2226062,0,0
1304,3,6,0,2,27,193,196,0,1,1,0,2,4439514,0,0
1305,1,10,0,1,32,268,314,0,1,1,0,5,3079755,0,0
1306,3,11,0,1,42,192,216,0,5,3,0,3,4460066,1,0
1307,3,5,0,2,36,285,327,1,2,2,0,4,1976446,0,0
1308,7,8,0,5,46,134,182,0,4,2,0,2,2632894,0,0
1309,1,8,0,5,43,153,226,0,3,1,0,2,4199135,0,0
1310,2,12,0,2,51,33,56,0,1,2,0,2,4645867,0,0
1311,1,3,0,2,35,194,233,0,2,1,0,2,2502598,0,0
1312,2,18,0,3,36,58,88,0,2,1,0,2,4241441,0,0
1313,2,16,0,1,25,339,360,0,2,2,0,2,1503035,0,0
1314,1,5,0,3,48,204,225,0,2,3,0,2,2802665,0,0
1315,2,5,0,2,35,209,243,0,2,3,0,2,4396505,0,0
1316,7,9,0,2,44,115,261,0,2,1,0,4,4137683,0,0
1317,7,12,0,1,31,220,261,0,2,2,0,4,2950868,0,0
1318,1,23,0,3,26,108,169,0,4,1,0,2,2095947,1,0
1319,3,12,0,2,36,153,230,0,2,1,0,2,3362759,0,0
1320,2,6,0,1,46,121,160,0,2,2,0,2,2086455,0,0
1321,4,12,0,1,42,149,179,1,5,2,0,3,1321823,0,0
1322,1,11,0,1,42,138,184,0,1,2,0,4,2736826,0,0
1323,3,15,0,1,30,180,198,0,1,5,0,4,2444691,0,0
1324,2,15,0,2,25,21,26,0,4,1,0,3,3918433,0,0
1325,2,9,74468.64,1,50,303,334,0,3,1,1,3,4304061,1,0
1326,2,25,26755.2,4,44,156,278,0,3,1,1,2,2668240,0,0
1327,2,15,30545.52,3,25,103,137,0,5,1,1,2,3698630,0,0
1328,1,7,78036,3,38,305,350,0,2,2,1,2,1543469,0,0
1329,3,7,28315.92,1,35,88,127,1,5,1,1,3,1867930,0,0
1330,2,7,11148,1,42,21,50,0,1,1,1,3,3084044,1,0
1331,2,19,62874.72,3,41,239,282,0,5,3,1,3,4145811,0,0
1332,2,11,33221.04,2,28,103,149,1,1,2,1,5,3055547,0,0
1333,2,17,10256.16,1,25,2,46,0,1,2,1,4,4451413,0,0
1334,2,20,62874.72,2,49,242,192,0,2,3,1,2,2696898,0,0
1335,2,12,34112.88,3,27,108,153,1,2,2,1,4,1488941,0,0
1336,2,5,0,2,42,189,239,1,1,2,0,1,1670770,0,0
1337,2,23,0,1,28,172,201,0,4,2,0,3,1636005,1,0
1338,4,1,0,2,38,7,12,0,5,2,0,2,2035381,1,0
1339,3,7,0,1,47,215,247,0,2,2,0,1,4480366,0,0
1340,7,13,0,2,26,240,275,0,3,4,0,2,2712211,0,0
1341,5,43,0,3,25,126,196,0,1,4,0,1,3100225,0,0
1342,7,43,0,3,25,135,180,0,3,1,0,1,1609131,0,0
1343,1,12,0,3,32,107,123,0,2,1,0,1,4158234,0,0
1344,2,7,9148.08,4,31,13,47,0,2,3,1,1,2077548,0,0
1345,7,1,15376.56,3,51,33,79,0,2,2,1,1,3468538,1,0
1346,7,3,55083.12,1,50,271,283,1,5,2,1,4,1954014,1,0
1347,2,7,41263.68,2,43,197,121,0,1,2,1,1,1379490,0,0
1348,1,11,2335.68,1,43,7,12,0,5,1,1,1,2276724,0,0
1349,2,25,21410.4,3,32,162,287,1,1,2,1,1,1963553,1,0
1350,2,3,10899.84,2,41,6,56,0,2,4,1,1,2352767,0,0
1351,3,2,16544.4,3,36,35,85,0,3,3,1,1,4574553,0,0
1352,2,34,38928,2,31,178,200,0,1,1,1,2,2689526,0,0
1353,3,34,14208.72,1,39,39,73,0,1,2,1,5,1933264,0,0
1354,1,16,20242.56,2,25,112,259,0,4,2,1,1,2145309,1,0
1355,1,8,14598,3,25,58,75,1,2,3,1,3,3200415,0,0
1356,3,13,50217.12,5,50,179,168,0,1,2,1,4,4257362,0,0
1357,2,9,51190.32,3,25,227,263,0,1,2,1,1,3023434,0,0
1358,7,36,2335.68,3,50,7,12,1,5,3,1,3,1810868,1,0
1359,1,15,39511.92,2,28,191,203,0,2,3,1,3,4107603,0,0
1360,2,15,14403.36,2,51,27,74,0,2,2,1,2,4179718,0,0
1361,4,5,2335.68,2,25,7,12,0,2,2,1,3,1965836,1,0
1362,2,24,23940.72,1,46,99,294,1,1,2,1,3,1506444,1,0
1363,2,9,41847.6,1,33,170,215,0,1,1,1,4,1768251,1,0
1364,2,1,27249.6,4,37,118,140,0,5,3,1,1,2033160,0,0
1365,2,5,31337.04,1,37,99,290,0,2,3,1,1,4460315,1,0
1366,2,5,37370.88,1,30,171,192,1,1,1,1,5,3339748,0,0
1367,1,2,33283.44,1,36,141,171,0,1,1,1,4,4022739,0,0
1368,1,9,5255.28,1,30,22,27,0,1,2,1,1,4679357,0,0
1369,2,9,0,1,41,255,273,1,5,3,0,2,3020571,0,0
1370,7,27,0,1,40,141,172,0,5,2,0,1,3478526,0,0
1371,3,24,0,1,25,190,236,1,5,2,0,1,2329480,0,0
1372,1,3,0,1,47,242,255,0,3,3,0,1,4665295,0,0
1373,1,28,0,2,46,8,13,0,1,2,0,1,2287291,0,0
1374,3,28,0,1,51,37,67,0,1,4,0,1,2425231,0,0
1375,3,28,0,3,35,55,85,0,4,2,0,3,4308908,1,0
1376,2,8,0,3,44,88,130,0,3,2,0,1,3019722,0,0
1377,3,8,0,2,31,37,87,0,1,3,0,1,2782973,0,0
1378,1,1,0,2,33,223,258,0,3,1,0,1,4594484,0,0
1379,1,35,0,1,36,59,99,0,5,1,0,1,3011710,0,0
1380,2,9,0,1,35,121,183,0,5,4,0,1,3841386,0,0
1381,2,11,0,1,51,9,53,0,5,2,0,1,2596886,1,0
1382,7,11,0,1,42,184,231,0,2,1,0,1,4097812,1,0
1383,7,8,0,2,29,189,208,1,5,2,0,1,3964272,1,0
1384,1,14,0,1,37,62,101,0,5,3,0,2,3004773,0,0
1385,1,9,0,1,25,315,354,0,3,2,0,2,1914629,1,0
1386,1,5,0,1,46,94,128,0,1,1,0,1,1800172,0,0
1387,1,20,0,4,50,96,112,0,1,3,0,1,2476136,0,0
1388,4,19,0,3,51,112,131,0,1,2,0,1,3826135,0,0
1389,1,18,0,2,25,163,184,0,2,2,0,1,2944909,1,0
1390,2,3,0,1,34,102,108,1,5,2,0,1,2287125,0,0
1391,7,2,0,1,48,28,42,0,5,2,0,1,1342383,0,0
1392,2,5,0,2,39,303,345,0,5,1,0,1,4583922,0,0
1393,2,24,0,4,40,86,100,0,2,2,0,4,2096510,0,0
1394,2,6,0,2,47,80,106,0,1,4,0,4,2450375,1,0
1395,1,5,0,1,42,317,341,1,2,6,0,1,3082462,0,0
1396,1,3,0,1,26,217,148,1,2,2,0,1,1440781,0,0
1397,2,3,0,3,40,196,231,1,3,2,0,2,4567677,0,0
1398,4,4,0,1,25,275,306,0,2,3,0,4,3200146,0,0
1399,1,19,0,1,48,48,90,0,5,2,0,3,3066921,0,0
1400,1,9,0,1,49,300,339,0,2,1,0,2,1717250,0,0
1401,1,12,0,2,26,107,143,0,1,2,0,1,3475364,0,0
1402,1,8,0,5,43,161,207,0,3,1,0,4,2761696,0,0
1403,1,14,0,4,25,224,213,0,4,3,0,1,2680302,0,0
1404,2,1,0,4,44,292,331,0,2,3,0,1,4579584,0,0
1405,7,19,0,4,33,260,281,0,2,3,0,1,4216742,0,0
1406,4,8,0,1,34,7,12,0,5,3,0,1,1602918,0,0
1407,4,26,0,5,31,287,312,1,2,1,0,1,1975617,0,0
1408,3,17,0,1,51,155,117,0,4,3,0,3,4160795,0,0
1409,2,37,0,2,31,84,111,0,3,1,0,1,4261742,0,0
1410,4,37,0,1,25,217,110,0,5,2,0,1,1535514,0,0
1411,2,20,0,2,42,253,143,0,2,2,0,1,3569827,0,0
1412,7,12,0,2,34,7,12,0,5,2,0,2,2828738,0,0
1413,7,5,0,3,25,28,57,0,4,3,0,3,3106484,1,0
1414,2,6,0,4,25,167,213,0,1,1,0,4,2117769,1,0
1415,3,23,0,4,25,290,319,0,4,1,0,2,2170490,0,0
1416,3,2,0,2,31,251,267,0,2,2,0,3,4633279,0,0
1417,3,22,0,2,28,35,40,0,2,3,0,3,3175662,1,0
1418,1,6,0,1,25,160,238,0,1,2,0,3,1499969,1,0
1419,3,17,0,4,39,205,237,0,2,4,0,3,3031221,0,0
1420,7,6,0,1,25,118,277,1,1,1,0,6,2054426,0,0
1421,2,13,0,4,37,90,128,0,5,1,0,3,4255499,0,0
1422,1,5,0,1,48,205,221,0,2,1,0,5,4527674,0,0
1423,7,22,0,2,43,257,274,1,3,2,0,5,2241240,0,0
1424,2,12,0,1,28,263,277,1,2,3,0,6,3795791,0,0
1425,1,5,0,2,33,205,222,0,4,3,0,4,3322276,0,0
1426,2,3,0,1,39,91,130,0,2,2,0,4,1756762,0,0
1427,1,22,0,2,29,93,114,0,1,4,0,3,4055476,0,0
1428,5,36,0,3,50,76,108,0,2,2,0,3,2696998,0,0
1429,7,8,0,3,51,289,316,0,5,2,0,3,4154065,0,0
1430,7,9,0,3,40,306,335,0,2,4,0,4,4641486,0,0
1431,2,9,0,1,30,44,78,0,2,1,0,6,3941153,0,0
1432,7,2,0,2,45,80,252,0,2,4,0,3,2347900,1,0
1433,1,2,0,1,44,10,30,0,3,3,0,4,2933156,0,0
1434,1,5,0,1,25,50,71,0,4,4,0,4,2942701,0,1
1435,1,8,0,1,38,11,16,1,1,1,0,6,4295490,1,0
1436,1,6,0,5,25,139,176,0,1,2,0,3,1505516,0,0
1437,1,5,0,2,49,180,148,0,1,1,0,3,1743874,0,0
1438,1,36,0,3,51,165,204,0,2,2,0,3,1962936,0,0
1439,7,4,0,1,51,239,282,0,2,2,0,3,1575542,0,0
1440,7,15,0,2,43,38,64,0,2,2,0,3,1649638,0,0
1441,2,18,0,2,40,207,245,0,2,1,0,4,3710389,0,0
1442,1,12,0,3,35,148,180,0,2,1,0,4,4517952,0,0
1443,2,18,0,3,39,132,179,1,2,1,0,4,4006863,0,0
1444,7,5,0,1,42,269,306,0,3,1,0,4,3223964,1,0
1445,2,18,0,1,32,317,350,0,2,4,0,3,1933316,0,0
1446,2,12,0,1,33,191,219,0,1,3,0,6,2354264,0,0
1447,3,9,0,4,27,133,146,0,1,5,0,4,3626771,0,0
1448,4,2,0,1,51,208,251,0,1,1,0,3,3148914,0,0
1449,1,24,0,2,44,264,308,0,2,5,0,1,3990427,1,0
1450,3,11,0,1,37,136,274,0,1,2,0,1,3350076,0,0
1451,3,20,0,3,25,321,337,0,2,4,0,1,2666005,1,0
1452,2,8,0,3,26,189,128,0,2,2,0,1,1869806,0,0
1453,1,5,0,3,45,133,160,0,1,2,0,1,1992531,1,0
1454,2,5,0,1,26,309,343,0,2,2,0,1,1503205,0,0
1455,2,7,0,1,26,205,174,0,3,3,0,1,2276149,0,0
1456,3,16,0,1,40,176,198,0,4,2,0,1,4164717,0,0
1457,1,12,0,1,44,134,147,0,2,4,0,1,4177020,0,0
1458,1,1,0,2,50,244,288,0,2,2,0,1,4064456,0,0
1459,7,2,0,3,39,41,54,0,2,4,0,1,3875149,0,0
1460,4,5,34670.32,4,41,151,191,1,1,4,1,1,4072943,0,0
1461,3,17,31402.96,1,25,157,173,0,2,2,1,1,2447178,0,0
1462,7,24,31584.48,2,31,151,208,0,3,1,1,1,2392424,0,0
1463,2,6,23234.56,2,36,90,128,1,2,6,1,1,2003775,0,0
1464,1,4,40478.96,3,49,199,223,0,2,1,1,1,3952946,1,0
1465,4,10,48828.88,3,50,116,171,0,2,1,1,1,4610559,0,0
1466,1,10,7623.84,3,30,11,42,1,1,4,1,1,3129061,0,0
1467,7,18,62805.92,2,33,299,346,0,1,2,1,1,2124542,0,0
1468,2,7,9076,2,38,24,50,0,1,6,1,3,3440458,0,0
1469,2,10,0,1,28,104,154,0,2,2,0,1,2744172,0,0
1470,2,21,10346.64,1,37,44,57,0,1,1,1,1,1509914,0,0
1471,3,18,42294.16,1,40,203,233,0,2,2,1,1,4595705,0,0
1472,7,9,20511.76,2,25,91,113,1,2,3,1,1,2596156,0,0
1473,3,42,18515.04,1,40,60,102,0,1,2,1,1,2624062,0,0
1474,3,3,7986.88,1,51,19,44,1,1,1,1,1,3384514,1,0
